id,nome_sito,prezzo_sito,prezzo_gipo_ultimo,data_ultima_fattura,prezzo_gipo_modale,n_fatture_12m,esito
anticorpi-anti-schistosoma-mansoni,ANTICORPI ANTI-SCHISTOSOMA MANSONI,28.5,,,,0,NO_DATI_GIPO
anticorpi-anti-spermatozoi,ANTICORPI ANTI-SPERMATOZOI,35.0,,,,0,NO_DATI_GIPO
anticorpi-anti-surrene,ANTICORPI ANTI-SURRENE,30.0,30.0,2026-04-29,30.0,1,OK
anticorpi-anti-tetano,ANTICORPI ANTI-TETANO,28.0,28.0,2026-02-09,28.0,4,OK
anticorpi-anti-tireoglobulina,ANTICORPI ANTI-TIREOGLOBULINA,19.9,19.9,2026-07-01,19.9,130,OK
anticorpi-anti-tireoperossidasi,ANTICORPI ANTI-TIREOPEROSSIDASI,19.9,19.9,2026-07-01,19.9,135,OK
anticorpi-anti-toxoplasma-igg,ANTICORPI ANTI-TOXOPLASMA IgG,10.5,10.5,2026-06-30,10.5,125,OK
anticorpi-anti-toxoplasma-igm,ANTICORPI ANTI-TOXOPLASMA IgM,10.5,10.5,2026-06-30,10.5,129,OK
anticorpi-anti-transglutaminasi-iga,ANTICORPI ANTI-TRANSGLUTAMINASI IgA,20.3,20.3,2026-07-01,20.3,69,OK
anticorpi-anti-transglutaminasi-igg,ANTICORPI ANTI-TRANSGLUTAMINASI IgG,21.9,21.9,2026-07-01,21.9,53,OK
anticorpi-anti-treponema-pallidum-igg,ANTICORPI ANTI-TREPONEMA PALLIDUM IgG,10.0,10.0,2026-05-14,10.0,41,OK
anticorpi-anti-treponema-pallidum-igm,ANTICORPI ANTI-TREPONEMA PALLIDUM IgM,10.0,10.0,2026-05-14,10.0,42,OK
anticorpi-anti-varicella-herpes-zoster-igg,ANTICORPI ANTI-VARICELLA (HERPES ZOSTER) IgG,13.0,13.0,2026-06-26,13.0,30,OK
anticorpi-anti-varicella-herpes-zoster-igm,ANTICORPI ANTI-VARICELLA (HERPES ZOSTER) IgM,13.0,13.0,2026-06-26,13.0,20,OK
antigene-carboidratico-ca-125,ANTIGENE CARBOIDRATICO CA 125,13.5,13.5,2026-06-29,13.5,55,OK
antigene-carboidratico-ca-15-3,ANTIGENE CARBOIDRATICO CA 15-3,13.5,13.5,2026-06-23,13.5,48,OK
antigene-carboidratico-ca-19-9,ANTIGENE CARBOIDRATICO CA 19-9,13.5,13.5,2026-06-24,13.5,59,OK
antigene-carboidratico-ca-50,ANTIGENE CARBOIDRATICO CA 50,45.9,45.9,2026-04-10,45.9,2,OK
antigene-carboidratico-ca-72-4,ANTIGENE CARBOIDRATICO CA 72-4,22.0,,,,0,NO_DATI_GIPO
antigene-carcinoembrionale-cea,ANTIGENE CARCINOEMBRIONALE (CEA),10.0,10.0,2026-06-24,10.0,61,OK
antigene-hbeag,ANTIGENE HBeAg,15.0,,,,0,NO_DATI_GIPO
antigene-polipeptidico-tissutale-tpa,ANTIGENE POLIPEPTIDICO TISSUTALE (TPA),21.5,,,,0,NO_DATI_GIPO
antigene-prostatico-specifico-psa-totale,ANTIGENE PROSTATICO SPECIFICO (PSA) TOTALE,10.0,10.0,2026-06-23,10.0,91,OK
antimicogramma,ANTIMICOGRAMMA,30.0,30.0,2026-05-05,30.0,8,OK
antimieloperossidasi-mpo,ANTIMIELOPEROSSIDASI (MPO),28.0,,,,0,NO_DATI_GIPO
antimonio-urine-f-t,ANTIMONIO URINE F.T.,22.0,,,,0,NO_DATI_GIPO
antiproteinasi-3-pr3,ANTIPROTEINASI 3 (PR3),10.0,,,,0,NO_DATI_GIPO
antitrombina,ANTITROMBINA,4.0,4.0,2026-06-29,4.0,83,OK
ape-apis-mellifera-ige-specifiche,APE (APIS MELLIFERA) (IgE SPECIFICHE),12.5,12.5,2026-01-29,12.5,4,OK
apolipoproteina-a1,APOLIPOPROTEINA A1,13.0,13.0,2026-05-18,13.0,8,OK
apolipoproteina-b,APOLIPOPROTEINA B,12.0,12.0,2026-03-20,12.0,15,OK
aptoglobina,APTOGLOBINA,9.5,9.5,2025-11-07,9.5,2,OK
arachide-ige-specifiche,ARACHIDE (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,2,OK
aragosta-ige-specifiche,ARAGOSTA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
arancia-ige-specifiche,ARANCIA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
argento-ematico,ARGENTO EMATICO,56.2,,,,0,NO_DATI_GIPO
argento-urine-f-t,ARGENTO URINE F.T.,318.3,,,,0,NO_DATI_GIPO
aringa-ige-specifiche,ARINGA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
arsenico-urine-f-t,ARSENICO URINE F.T.,34.2,,,,0,NO_DATI_GIPO
asca-anticorpi-anti-saccharomyces-cerevisiae-iga,ASCA - ANTICORPI ANTI-SACCHAROMYCES CEREVISIAE IgA,31.0,31.0,2026-06-22,31.0,1,OK
asca-anticorpi-anti-saccharomyces-cerevisiae-igg,ASCA - ANTICORPI ANTI-SACCHAROMYCES CEREVISIAE IgG,33.4,33.4,2026-06-22,33.4,1,OK
asparago-ige-specifiche,ASPARAGO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
aspergillus-fumigatus-ige-specifiche,ASPERGILLUS FUMIGATUS (IgE SPECIFICHE),12.5,12.5,2026-05-05,12.5,2,OK
aspergillus-niger-ige-specifiche,ASPERGILLUS NIGER (IgE SPECIFICHE),14.0,14.0,2026-03-13,14.0,1,OK
assenzio-artemisia-absinthium-ige-specifiche,ASSENZIO (ARTEMISIA ABSINTHIUM) (IgE SPECIFICHE),12.5,12.5,2025-07-18,12.5,1,OK
assenzio-selvatico-artemisia-vulgaris-ige-specific,ASSENZIO SELVATICO (ARTEMISIA VULGARIS) (IgE SPECIFICHE),12.5,12.5,2025-07-18,12.5,1,OK
atrofia-muscolare-spinale,ATROFIA MUSCOLARE SPINALE,130.0,130.0,2026-06-16,130.0,1,OK
avena-avena-sativa-ige-specifiche,AVENA (AVENA SATIVA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
avena-ige-specifiche,AVENA (IgE SPECIFICHE),12.5,12.5,2026-04-30,12.5,1,OK
azotemia,AZOTEMIA,1.99,1.99,2026-06-27,1.99,242,OK
azoturia-urine-24h,AZOTURIA URINE 24H,3.5,3.5,2026-06-24,3.5,1,OK
bambagiona-holcus-lanatus-ige-specifiche,BAMBAGIONA (HOLCUS LANATUS) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
banana-ige-specifiche,BANANA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
barbiturici-sierici,BARBITURICI SIERICI,15.0,,,,0,NO_DATI_GIPO
bario-urine-f-t,BARIO URINE F.T.,322.0,,,,0,NO_DATI_GIPO
bartonella-ricerca-anticorpi-igg-e-igm,BARTONELLA RICERCA ANTICORPI IgG e IgM,33.5,33.5,2025-07-21,33.5,1,OK
basilico-ige-specifiche,BASILICO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
benzene-ematico,BENZENE EMATICO,23.1,,,,0,NO_DATI_GIPO
benzene-urine-f-t,BENZENE URINE F.T.,23.1,,,,0,NO_DATI_GIPO
benzene-urine-i-t,BENZENE URINE I.T.,23.1,,,,0,NO_DATI_GIPO
benzodiazepine-sieriche,BENZODIAZEPINE SIERICHE,15.0,15.0,2026-04-16,15.0,1,OK
benzodiazepine-urinarie,BENZODIAZEPINE URINARIE,20.0,20.0,2026-04-24,20.0,21,OK
beta-2-microglobulina-sierica,BETA 2 MICROGLOBULINA SIERICA,12.0,12.0,2026-06-16,12.0,10,OK
beta-2-microglobulina-urine-24h,BETA 2 MICROGLOBULINA URINE 24H,13.5,,,,0,NO_DATI_GIPO
beta-2-microglobulina-urine-f-t,BETA 2 MICROGLOBULINA URINE F.T.,13.5,,,,0,NO_DATI_GIPO
beta-hcg-plasmatico,BETA HCG PLASMATICO,15.5,15.5,2026-07-01,15.5,536,OK
beta-lattoglobulina-ige-specifiche,BETA LATTOGLOBULINA (IgE SPECIFICHE),12.5,12.5,2025-08-26,12.5,1,OK
betulla-betula-verrucosa-ige-specifiche,BETULLA (BETULA VERRUCOSA) (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
bicarbonati,BICARBONATI,4.0,4.0,2026-02-23,4.0,3,OK
bilirubina-diretta,BILIRUBINA DIRETTA,2.5,2.5,2026-06-29,2.5,299,OK
bilirubina-totale,BILIRUBINA TOTALE,3.5,3.5,2026-06-29,3.5,324,OK
bnp,BNP,70.0,70.0,2026-05-15,30.3,27,OK
botrytis-cinerea-ige-specifiche,BOTRYTIS CINEREA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
brca-plus,BRCA PLUS,350.0,620.0,2026-02-02,350.0,10,OK
breath-test-al-lattosio,BREATH TEST AL LATTOSIO,59.0,59.0,2026-07-01,59.0,150,OK
breath-test-glucosio,BREATH TEST GLUCOSIO,61.0,,,,0,NO_DATI_GIPO
breath-test-helicobacter,Breath Test Helicobacter,65.0,65.0,2026-06-30,65.0,60,OK
broccoli-ige-specifiche,BROCCOLI (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
c-peptide,C PEPTIDE,13.0,13.0,2026-04-18,13.0,4,OK
c-peptide-profilo,C PEPTIDE PROFILO,12.5,,,,0,NO_DATI_GIPO
c1-esterasi-inibitore,C1 ESTERASI INIBITORE,51.0,,,,0,NO_DATI_GIPO
c1-inattivatore,C1 INATTIVATORE,22.0,22.0,2026-05-04,22.0,1,OK
cacao-ige-specifiche,CACAO (IgE SPECIFICHE),12.5,12.5,2026-03-02,12.5,1,OK
cadmio-ematico,CADMIO EMATICO,25.0,25.0,2026-01-30,25.0,1,OK
cadmio-urine-f-t,CADMIO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
caffe-ige-specifiche,CAFFE' (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
calabrone-bianco-dolichovespula-maculata-ige-speci,CALABRONE BIANCO (DOLICHOVESPULA MACULATA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
calabrone-europeo-vespa-cabro-ige-specifiche,CALABRONE EUROPEO (VESPA CABRO) (IgE SPECIFICHE),12.5,12.5,2025-07-22,12.5,1,OK
calabrone-giallo-dolichovespula-arenaria-ige-speci,CALABRONE GIALLO (DOLICHOVESPULA ARENARIA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
calamaro-ige-specifiche,CALAMARO (IgE SPECIFICHE),12.5,14.0,2026-06-05,14.0,3,MISMATCH
calcio,CALCIO,3.5,3.5,2026-06-29,3.5,216,OK
calcio-ionizzato,CALCIO IONIZZATO,10.0,10.0,2026-05-02,10.0,2,OK
calcitonina,CALCITONINA,18.0,18.0,2026-07-01,18.0,27,OK
calciuria-urine-24h,CALCIURIA URINE 24H,3.8,3.8,2026-03-19,3.8,2,OK
calciuria-urine-spot,CALCIURIA URINE SPOT,3.5,,,,0,NO_DATI_GIPO
calprotectina-fecale-quantitativa,CALPROTECTINA FECALE QUANTITATIVA,28.0,28.0,2026-06-30,28.0,59,OK
candida-albicans-ige-specifiche,CANDIDA ALBICANS (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
canna-di-palude-phragmites-communis-ige-specifiche,CANNA DI PALUDE (PHRAGMITES COMMUNIS) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
cannabinoidi-test-di-conferma,CANNABINOIDI - TEST DI CONFERMA,168.2,,,,0,NO_DATI_GIPO
cannabinoidi-matrice-pilifera-valenza-clinica,CANNABINOIDI MATRICE PILIFERA (VALENZA CLINICA),250.0,250.0,2025-10-17,200.0,2,OK
cannarecchia-sorghum-halepense-ige-specifiche,CANNARECCHIA (SORGHUM HALEPENSE) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
capesanta-ige-specifiche,CAPESANTA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
carbamazepina,CARBAMAZEPINA,15.5,,,,0,NO_DATI_GIPO
carbossiemoglobina,CARBOSSIEMOGLOBINA,12.0,,,,0,NO_DATI_GIPO
carcinoma-cellule-squamose-scc-ta4,CARCINOMA CELLULE SQUAMOSE (SCC) (TA4),85.0,,,,0,NO_DATI_GIPO
cariotipo-metafase-linfocitario,CARIOTIPO METAFASE LINFOCITARIO,180.0,,,,0,NO_DATI_GIPO
cariotipo-su-sangue-periferico-citogenetica-classi,Cariotipo su sangue periferico (citogenetica classica),99.0,99.0,2026-05-13,99.0,18,OK
cariotipo-su-sangue-periferico-citogenetica-classi,Cariotipo su sangue periferico (citogenetica classica) – pannello di coppia,190.0,190.0,2026-06-24,190.0,21,OK
carne-bovina-ige-specifiche,CARNE BOVINA (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
carne-di-bue-ige-specifiche,CARNE DI BUE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
carne-di-coniglio-ige-specifiche,CARNE DI CONIGLIO (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
carne-di-montone-ige-specifiche,CARNE DI MONTONE (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
carne-di-pollo-ige-specifiche,CARNE DI POLLO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
carne-di-tacchino-ige-specifiche,CARNE DI TACCHINO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
carota-ige-specifiche,CAROTA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
carpino-bianco-carpinus-betulus-ige-specifiche,CARPINO BIANCO (CARPINUS BETULUS) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
carrieradvance-plus-pannello-di-coppia,CARRIERADVANCE PLUS (Pannello di coppia),490.0,,,,0,NO_DATI_GIPO
caseina-ige-specifiche,CASEINA (IgE SPECIFICHE),15.0,15.0,2025-08-07,15.0,2,OK
castagna-ige-specifiche,CASTAGNA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
catecolamine-urinarie-24h,CATECOLAMINE URINARIE 24H,35.0,,,,0,NO_DATI_GIPO
catene-leggere-kappa-e-lambda-siero,CATENE LEGGERE KAPPA E LAMBDA SIERO,46.8,46.8,2026-05-28,46.8,5,OK
cavolini-di-bruxelles-ige-specifiche,CAVOLINI DI BRUXELLES (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
cavolo-ige-specifiche,CAVOLO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
cdt-transferrina-carboidrato-carente-desialata,CDT - TRANSFERRINA CARBOIDRATO CARENTE DESIALATA,45.0,45.0,2026-06-25,45.0,61,OK
ceruloplasmina,CERULOPLASMINA,15.0,15.0,2026-05-20,15.0,2,OK
cetriolo-ige-specifiche,CETRIOLO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
check-uomo-analisi,CHECK UOMO ANALISI,98.0,,,,0,NO_DATI_GIPO
check-up-bambino,Check up  BAMBINO,59.9,,,,0,NO_DATI_GIPO
check-up-uomo-under-40,Check up  uomo under 40,75.0,75.0,2026-06-10,75.0,7,OK
check-up-base,Check Up base,55.0,55.0,2026-06-22,55.0,12,OK
check-up-donna,CHECK UP DONNA,113.0,,,,0,NO_DATI_GIPO
check-up-donna-over-40,Check up donna over 40,125.0,125.0,2026-06-17,125.0,10,OK
check-up-pre-gravidanza,CHECK UP PRE GRAVIDANZA,185.0,,,,0,NO_DATI_GIPO
check-up-profilo-epatico,CHECK UP PROFILO EPATICO,75.0,75.0,2025-09-20,75.0,1,OK
check-up-renale,CHECK UP RENALE,29.0,,,,0,NO_DATI_GIPO
check-up-sport,CHECK UP SPORT,81.0,,,,0,NO_DATI_GIPO
check-up-tiroide-base,Check up Tiroide base,37.0,37.0,2026-03-07,37.0,1,OK
check-up-tiroide-plus,Check up Tiroide Plus,87.0,59.0,2026-05-19,87.0,3,OK
check-up-uomo-dirigenti-bds,check up uomo dirigenti bds,57.34,,,,0,NO_DATI_GIPO
check-up-uomo-over-40,Check up uomo over 40,124.9,124.9,2026-06-23,124.9,9,OK
check-up-uomo-platamona,CHECK UP UOMO PLATAMONA,114.04,,,,0,NO_DATI_GIPO
check-up-cardio-pre-visita,Check-Up Cardio (pre visita),112.73,,,,0,NO_DATI_GIPO
check-up-donna-under-40,Check-up donna under 40,97.0,97.0,2026-04-18,97.0,3,OK
chimotripsina-feci,CHIMOTRIPSINA (FECI),29.0,,,,0,NO_DATI_GIPO
cicloesano-urine-f-t,CICLOESANO URINE F.T.,28.4,,,,0,NO_DATI_GIPO
cicloesanolo-urine-f-t,CICLOESANOLO URINE F.T.,28.4,,,,0,NO_DATI_GIPO
ciclosporina,CICLOSPORINA,30.0,,,,0,NO_DATI_GIPO
ciliegia-ige-specifiche,CILIEGIA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
cioccolato-ige-specifiche,CIOCCOLATO (IgE SPECIFICHE),12.5,12.5,2026-03-02,12.5,1,OK
cipolla-ige-specifiche,CIPOLLA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
cipresso-cupressus-sempervirens-ige-specifiche,CIPRESSO (CUPRESSUS SEMPERVIRENS) (IgE SPECIFICHE),12.5,12.5,2025-09-11,12.5,1,OK
cistatina-c,CISTATINA C,21.0,21.0,2026-06-27,21.0,10,OK
cisticercosi-tenia-solium-anticorpi,CISTICERCOSI (TENIA SOLIUM) ANTICORPI,148.5,,,,0,NO_DATI_GIPO
cistina-urinaria,CISTINA URINARIA,121.0,,,,0,NO_DATI_GIPO
citomegalovirus-avidita-igg,CITOMEGALOVIRUS AVIDITA' IgG,35.5,35.5,2026-04-01,35.5,6,OK
citomegalovirus-dna-quantitativo,CITOMEGALOVIRUS DNA QUANTITATIVO,70.0,,,,0,NO_DATI_GIPO
citrato-urine-24h,CITRATO URINE 24H,19.0,19.0,2026-06-22,19.0,1,OK
ckmb,ckmb,18.5,,,,0,NO_DATI_GIPO
ck-mb,CK-MB,18.5,18.5,2026-04-07,18.5,1,OK
ck-mb-massa,CK-MB MASSA,55.0,,,,0,NO_DATI_GIPO
cladosporium-herbarum-ige-specifiche,CLADOSPORIUM HERBARUM (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
clearance-della-creatinina,CLEARANCE DELLA CREATININA,5.0,5.0,2026-05-11,5.0,8,OK
cloro,CLORO,5.5,5.5,2026-06-26,5.5,85,OK
cloro-urine-24h,CLORO URINE 24H,3.5,,,,0,NO_DATI_GIPO
cloroformio-urine-f-t,CLOROFORMIO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
clostridium-difficile-ricerca-tossina-a-e-b,CLOSTRIDIUM DIFFICILE RICERCA TOSSINA A e B,43.9,43.9,2026-03-14,43.9,2,OK
clostridium-difficile-ricerca-tossina-b,CLOSTRIDIUM DIFFICILE RICERCA TOSSINA B,43.9,43.9,2025-07-18,43.9,2,OK
clozapina-sierica,CLOZAPINA SIERICA,79.8,,,,0,NO_DATI_GIPO
cobalto-plasmatico,COBALTO PLASMATICO,20.0,,,,0,NO_DATI_GIPO
cobalto-urine-f-t,COBALTO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
cobalto-urine-i-t,COBALTO URINE I.T.,20.0,,,,0,NO_DATI_GIPO
cocaina-test-di-conferma,COCAINA - TEST DI CONFERMA,168.0,,,,0,NO_DATI_GIPO
cocaina-matrice-pilifera-valenza-clinica,COCAINA MATRICE PILIFERA (VALENZA CLINICA),200.0,200.0,2026-05-04,200.0,2,OK
coda-di-topo-phleum-pratense-ige-specifiche,CODA DI TOPO (PHLEUM PRATENSE) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
codina-dei-prati-alopecurus-pratensis-ige-specific,CODINA DEI PRATI (ALOPECURUS PRATENSIS) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
coenzima-q10,COENZIMA Q10,123.0,123.0,2026-05-12,123.0,2,OK
colesterolo-hdl,COLESTEROLO HDL,2.4,2.4,2026-06-30,2.4,574,OK
colesterolo-ldl,COLESTEROLO LDL,2.0,2.0,2026-06-30,2.0,370,OK
colesterolo-non-hdl,COLESTEROLO NON HDL,1.85,,,,0,NO_DATI_GIPO
colesterolo-totale,COLESTEROLO TOTALE,2.5,2.5,2026-06-30,2.5,593,OK
colesterolo-vldl,COLESTEROLO VLDL,40.0,,,,0,NO_DATI_GIPO
colinesterasi-che,COLINESTERASI (CHE),3.9,3.9,2026-06-09,3.9,13,OK
colinesterasi-pseudocolinesterasi,COLINESTERASI (PSEUDOCOLINESTERASI),3.8,3.8,2026-02-04,3.8,5,OK
colinesterasi-eritrocitaria,COLINESTERASI ERITROCITARIA,23.9,,,,0,NO_DATI_GIPO
complemento-c1q,COMPLEMENTO C1q,31.0,,,,0,NO_DATI_GIPO
complemento-c3,COMPLEMENTO C3,8.3,8.3,2026-06-24,8.3,20,OK
complemento-c3-proattivatore,COMPLEMENTO C3 PROATTIVATORE,10.9,,,,0,NO_DATI_GIPO
complemento-c4,COMPLEMENTO C4,8.3,8.3,2026-06-24,8.3,20,OK
conta-eosinofili,CONTA EOSINOFILI,4.5,,,,0,NO_DATI_GIPO
copeptina-pro-avp,COPEPTINA PRO AVP,84.2,84.2,2026-05-18,84.2,1,OK
cortisolo-plasmatico,CORTISOLO PLASMATICO,16.0,16.0,2026-06-18,16.0,55,OK
cortisolo-salivare,Cortisolo Salivare,36.0,36.0,2025-10-20,36.0,3,OK
cortisolo-urine-24h,CORTISOLO URINE 24H,12.0,12.0,2026-06-29,12.0,2,OK
coxackie-virus-b1-b2-b3-b4-b5-b6-anticorpi-igg,COXACKIE VIRUS (B1 B2 B3 B4 B5 B6) ANTICORPI IgG,130.0,,,,0,NO_DATI_GIPO
coxackie-virus-b1-b2-b3-b4-b5-b6-anticorpi-igm,COXACKIE VIRUS (B1 B2 B3 B4 B5 B6) ANTICORPI IgM,120.0,,,,0,NO_DATI_GIPO
creatinchinasi-ck,CREATINCHINASI (CK),2.5,2.5,2026-06-30,2.5,124,OK
creatinina,CREATININA,2.0,2.0,2026-06-29,2.0,791,OK
creatinina-urinaria,CREATININA URINARIA,2.8,2.8,2026-05-11,2.8,1,OK
creatinuria-urine-24h,CREATINURIA URINE 24H,3.2,3.2,2026-01-21,3.2,4,OK
crioglobuline,CRIOGLOBULINE,8.0,8.0,2025-12-29,8.0,2,OK
criptomeria-cryptomeria-japonica-ige-specifiche,CRIPTOMERIA (CRYPTOMERIA JAPONICA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
cromo-ematico,CROMO EMATICO,15.9,15.9,2026-03-06,15.9,1,OK
cromo-urine-f-t,CROMO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
cromo-urine-i-t,CROMO URINE I.T.,20.0,,,,0,NO_DATI_GIPO
cromogranina-a,CROMOGRANINA A,79.9,,,,0,NO_DATI_GIPO
crostacei-ige,CROSTACEI (IGE),18.0,18.0,2025-09-13,18.0,1,OK
cumino-ige-specifiche,CUMINO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
cupremia-rame,CUPREMIA (RAME),9.0,9.0,2026-05-28,9.0,10,OK
cupruria-urine-24h,CUPRURIA (URINE 24H),10.5,,,,0,NO_DATI_GIPO
curry-ige-specifiche,CURRY (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
curva-da-carico-di-glucosio,Curva da carico di GLUCOSIO,50.0,50.0,2026-06-01,50.0,15,OK
curva-da-carico-di-glucosio-arancia,Curva da carico di GLUCOSIO (ARANCIA),75.0,,,,0,NO_DATI_GIPO
curva-insulinemica,CURVA INSULINEMICA,45.0,45.0,2026-05-19,45.0,16,OK
curva-insulinemica-6-determinazioni,Curva insulinemica 6 determinazioni,60.0,60.0,2026-06-19,60.0,9,OK
cyfra-21-1,CYFRA 21-1,27.0,27.0,2026-03-14,27.0,3,OK
dao-test,DAO TEST,112.0,112.0,2026-06-30,112.0,9,OK
d-dimero,D-DIMERO,13.5,13.5,2026-06-03,13.5,25,OK
delta-4-androstenedione,DELTA-4-ANDROSTENEDIONE,12.0,12.0,2026-06-11,12.0,24,OK
dengue-igg,DENGUE IgG,41.0,,,,0,NO_DATI_GIPO
dengue-igm,DENGUE IgM,41.0,,,,0,NO_DATI_GIPO
dente-di-leone-taraxacum-vulgare-ige-specifiche,DENTE DI LEONE (TARAXACUM VULGARE) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
dermatofiti-cute-tampone,DERMATOFITI CUTE TAMPONE,55.0,,,,0,NO_DATI_GIPO
dermatophagoides-farinae-ige-specifiche,DERMATOPHAGOIDES FARINAE (IgE SPECIFICHE),12.5,15.0,2026-06-16,15.0,1,MISMATCH
dermatophagoides-microceras-ige-specifiche,DERMATOPHAGOIDES MICROCERAS (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
dermatophagoides-pteronyssinus-ige-specifiche,DERMATOPHAGOIDES PTERONYSSINUS (IgE SPECIFICHE),12.5,15.0,2026-06-16,12.5,2,OK
desossipiridinolina-urine-24h,DESOSSIPIRIDINOLINA URINE 24H,45.0,,,,0,NO_DATI_GIPO
dhea-deidroepiandrosterone,DHEA (DEIDROEPIANDROSTERONE),12.5,12.5,2026-06-03,12.5,6,OK
dhea-s-deidroepiandrosterone-solfato,DHEA-S (DEIDROEPIANDROSTERONE SOLFATO),17.5,17.5,2026-06-16,17.5,36,OK
diagnosi-molecolare-di-emocromatosi-varianti-c282y,DIAGNOSI MOLECOLARE DI EMOCROMATOSI (VARIANTI C282Y E H63D NEL GENE HFE),235.0,,,,0,NO_DATI_GIPO
digossina,DIGOSSINA,16.5,,,,0,NO_DATI_GIPO
diidrotestosterone-dht,DIIDROTESTOSTERONE (DHT),30.0,30.0,2026-06-11,28.0,8,OK
disbiosi-test,DISBIOSI TEST,90.0,,,,0,NO_DATI_GIPO
disomia-uniparentale-upd-family-test,DISOMIA UNIPARENTALE (UPD)- FAMILY TEST,320.0,,,,0,NO_DATI_GIPO
distrofia-miotonica-dmpk,DISTROFIA MIOTONICA- DMPK,130.0,,,,0,NO_DATI_GIPO
distrofia-muscolare-dmd-dmb-mpla-test,DISTROFIA MUSCOLARE DMD/DMB - MPLA TEST,200.0,,,,0,NO_DATI_GIPO
dopamina,DOPAMINA,39.0,,,,0,NO_DATI_GIPO
dopamina-urine-24h,DOPAMINA URINE 24H,31.9,,,,0,NO_DATI_GIPO
dosaggio-prolattina,DOSAGGIO PROLATTINA,15.0,15.0,2026-06-29,15.0,47,OK
drom-test,DROM TEST,37.0,,,,0,NO_DATI_GIPO
drug-test-2-livello,DRUG TEST 2 LIVELLO,25.0,25.0,2025-12-03,25.0,1,OK
drug-test,DRUG-TEST,25.0,25.0,2026-06-30,25.0,51,OK
e-coli-o-157-nelle-feci,E. COLI O:157 NELLE FECI,35.0,,,,0,NO_DATI_GIPO
ebna,EBNA,15.0,,,,0,NO_DATI_GIPO
echiniococco-igg,ECHINIOCOCCO IGG,26.0,,,,0,NO_DATI_GIPO
echinococco-abs-screening,ECHINOCOCCO ABS SCREENING,16.5,,,,0,NO_DATI_GIPO
ecp-proteina-cationica-eosinofila-ecp,ECP Proteina Cationica Eosinofila (ECP),79.0,,,,0,NO_DATI_GIPO
egfr-velocit-di-filtrazione-glomerulare,eGFR - Velocità di Filtrazione Glomerulare,5.5,5.5,2026-06-16,5.5,21,OK
elastasi-1-pancreatica-fecale,ELASTASI 1 PANCREATICA FECALE,50.0,50.0,2026-06-22,50.0,6,OK
elettroforesi-emoglobina-hb,ELETTROFORESI EMOGLOBINA (Hb),13.0,13.0,2026-06-30,13.0,39,OK
